Time;Channel A;Channel B
(ms);(V);(V)

9.83314222;0.01190222;-0.02624592
9.87410222;0.01190222;0.15076140
9.91506222;0.01190222;-0.02624592
9.95602222;0.01190222;-0.02624592
9.99698222;0.05600147;-0.20325330
10.03794222;0.05600147;-0.20325330
10.07890222;0.05600147;-0.20325330
10.11986222;0.05600147;-0.20325330
10.16082222;0.05600147;-0.20325330
10.20178222;0.10010070;-0.20325330
10.24274222;0.05600147;-0.20325330
10.28370222;0.10010070;-0.02624592
10.32466222;0.10010070;-0.02624592
10.36562222;0.10010070;-0.02624592
10.40658222;0.05600147;-0.20325330
10.44754222;0.10010070;-0.20325330
10.48850222;0.10010070;-0.20325330
10.52946222;0.10010070;-0.02624592
10.57042222;0.10010070;-0.20325330
10.61138222;0.10010070;-0.20325330
10.65234222;0.10010070;-0.20325330
10.69330222;0.10010070;-0.02624592
10.73426222;0.10010070;-0.20325330
10.77522222;0.10010070;-0.02624592
10.81618222;0.14404740;-0.02624592
10.85714222;0.14404740;-0.02624592
10.89810222;0.14404740;-0.02624592
10.93906222;0.14404740;-0.02624592
10.98002222;0.14404740;-0.02624592
11.02098222;0.14404740;-0.02624592
11.06194222;0.14404740;-0.02624592
11.10290222;0.14404740;-0.02624592
11.14386222;0.14404740;-0.02624592
11.18482222;0.14404740;-0.02624592
11.22578221;0.14404740;-0.02624592
11.26674221;0.14404740;-0.02624592
11.30770221;0.14404740;-0.20325330
11.34866221;0.14404740;-0.02624592
11.38962221;0.18799400;-0.02624592
11.43058221;0.14404740;-0.02624592
11.47154221;0.18799400;-0.02624592
11.51250221;0.18799400;-0.02624592
11.55346221;0.18799400;-0.02624592
11.59442221;0.18799400;-0.02624592
11.63538221;0.18799400;-0.02624592
11.67634221;0.18799400;-0.02624592
11.71730221;0.23209330;-0.02624592
11.75826221;0.23209330;-0.02624592
11.79922221;0.23209330;-0.02624592
11.84018221;0.23209330;-0.02624592
11.88114221;0.23209330;-0.02624592
11.92210221;0.23209330;-0.02624592
11.96306221;0.23209330;-0.02624592
12.00402221;0.23209330;-0.02624592
12.04498221;0.23209330;-0.02624592
12.08594221;0.23209330;-0.02624592
12.12690221;0.23209330;-0.02624592
12.16786221;0.27619250;-0.02624592
12.20882221;0.27619250;-0.02624592
12.24978221;0.27619250;-0.02624592
12.29074221;0.27619250;-0.02624592
12.33170221;0.27619250;-0.02624592
